market,project,term_type,scope,current_status,summary,primary_source
tel_aviv_yad_eliyahu,TIDHAR בין השדרות,promotion,PROJECT_WIDE,CURRENT_PAGE_NO_EXPLICIT_VALIDITY,10 שנות אחריות תדהר,https://www.tidhar-benhasderot.co.il/lp/
tel_aviv_yad_eliyahu,RAYK EAST SIDE,financing_benefit,CAMPAIGN_GENERAL,CURRENT_PAGE_NO_EXPLICIT_VALIDITY,"{""status"": ""VERIFIED"", ""type"": ""mortgage_campaign"", ""interest_rate_pct"": 1.99, ""interest_rate_type"": ""fixed"", ""index_linkage"": ""unlinked"", ""amount_ils"": null, ""term_months"": null, ""scope"": ""CAMPAIGN_GENERAL"", ""current_status"": ""CURRENT_PAGE_NO_EXPLICIT_VALIDITY"", ""conditions"": ""Exact loan amount/term and bank approval conditions not retained.""}",https://rayklocations.raykgroup.com/east/
tel_aviv_yad_eliyahu,RAYK EAST SIDE,delivery,PROJECT_WIDE,CURRENT_PAGE_NO_EXPLICIT_VALIDITY,"{""status"": ""VERIFIED"", ""value"": ""2029"", ""scope"": ""PROJECT_WIDE"", ""current_status"": ""CURRENT_PAGE_NO_EXPLICIT_VALIDITY""}",https://rayklocations.raykgroup.com/east/
netanya_kiryat_hasharon,בראשית פמלי — קריית השרון,promotion,SELECTED_UNITS,CURRENT_PAGE_NO_EXPLICIT_VALIDITY,Trade-in program for selected participating apartments,https://www.azoulay-group.co.il/trade-in/
netanya_kiryat_hasharon,גבאי על הפארק,payment_structure,ROOM_FAMILY,CURRENT_PAGE_NO_EXPLICIT_VALIDITY,"{""status"": ""VERIFIED"", ""type"": ""20_80"", ""installments"": [{""percent"": 20, ""timing"": ""initial/contract""}, {""percent"": 80, ""timing"": ""later/delivery_not_explicit_in_retained_card""}], ""scope"": ""ROOM_FAMILY"", ""rooms"": 5, ""current_status"": ""CURRENT_PAGE_NO_EXPLICIT_VALIDITY"", ""source_text"": ""תנאי תשלום 20/80""}",https://www.diraly.co.il/projects/%D7%92%D7%91%D7%90%D7%99-%D7%A2%D7%9C-%D7%94%D7%A4%D7%90%D7%A8%D7%A7
netanya_kiryat_hasharon,גבאי על הפארק,deferred_payment,ROOM_FAMILY,CURRENT_PAGE_NO_EXPLICIT_VALIDITY,"{""status"": ""VERIFIED"", ""deferred_payment"": true, ""down_payment_pct"": 20, ""deferred_pct"": 80, ""deferred_until"": ""not explicitly stated in retained source"", ""interest_terms"": ""not stated"", ""scope"": ""ROOM_FAMILY""}",https://www.diraly.co.il/projects/%D7%92%D7%91%D7%90%D7%99-%D7%A2%D7%9C-%D7%94%D7%A4%D7%90%D7%A8%D7%A7
netanya_kiryat_hasharon,THE STRIP נתניה,payment_structure,PROJECT_WIDE,CURRENT_PAGE_NO_EXPLICIT_VALIDITY,"{""status"": ""VERIFIED"", ""type"": ""20_80"", ""installments"": [{""percent"": 20, ""timing"": ""contract/initial""}, {""percent"": 80, ""timing"": ""later per campaign""}], ""scope"": ""PROJECT_WIDE"", ""current_status"": ""CURRENT_PAGE_NO_EXPLICIT_VALIDITY""}",https://aura-project.co.il/aurasafety/the-strip-netanya/
netanya_kiryat_hasharon,THE STRIP נתניה,deferred_payment,PROJECT_WIDE,CURRENT_PAGE_NO_EXPLICIT_VALIDITY,"{""status"": ""VERIFIED"", ""deferred_payment"": true, ""down_payment_pct"": 20, ""deferred_pct"": 80, ""deferred_until"": ""campaign-defined later payment"", ""interest_terms"": ""not stated"", ""scope"": ""PROJECT_WIDE""}",https://aura-project.co.il/aurasafety/the-strip-netanya/
netanya_kiryat_hasharon,THE STRIP נתניה,indexation_benefit,PROJECT_WIDE,CURRENT_PAGE_NO_EXPLICIT_VALIDITY,"{""status"": ""VERIFIED"", ""type"": ""full_exemption"", ""scope"": ""PROJECT_WIDE"", ""source_text"": ""פטור מדד"", ""current_status"": ""CURRENT_PAGE_NO_EXPLICIT_VALIDITY""}",https://aura-project.co.il/aurasafety/the-strip-netanya/
netanya_kiryat_hasharon,THE STRIP נתניה,promotion,PROJECT_WIDE,CURRENT_PAGE_NO_EXPLICIT_VALIDITY,"Campaign allows cancellation before contractual delivery if the apartment price declines, subject to campaign terms.",https://aura-project.co.il/aurasafety/the-strip-netanya/
netanya_kiryat_hasharon,THE STRIP נתניה,promotion,PROJECT_WIDE,CURRENT_PAGE_NO_EXPLICIT_VALIDITY,מחירי סוף השנה,https://aura-project.co.il/aurasafety/the-strip-netanya/
ashkelon_barnea,חלומות ברנע הירוקה,delivery,PROJECT_WIDE,CURRENT,"{""status"": ""VERIFIED"", ""value"": ""occupied"", ""scope"": ""PROJECT_WIDE"", ""current_status"": ""CURRENT""}",https://shbn.co.il/projects/ashkelon-dreams/
ashkelon_barnea,פרץ בוני הנגב בעיר היין,delivery,PROJECT_WIDE,CURRENT_PAGE_NO_EXPLICIT_VALIDITY,"{""status"": ""VERIFIED"", ""value"": ""אכלוס עוד השנה"", ""scope"": ""PROJECT_WIDE"", ""current_status"": ""CURRENT_PAGE_NO_EXPLICIT_VALIDITY"", ""note"": ""Preserved as published wording; not converted to a precise date.""}",https://www.peretzbh.co.il/project/ir-hayain/
ashkelon_barnea,פרץ בוני הנגב בעיר היין,promotion,PROJECT_WIDE,CURRENT_PAGE_NO_EXPLICIT_VALIDITY,בתנאי מימון מעולים,https://www.peretzbh.co.il/project/ir-hayain/
